F S   UID   PID  PPID  C PRI  NI ADDR SZ WCHAN  TTY          TIME CMD
4 S     0     1     0  0  80   0 -  8412 poll_s ?        00:00:01 init
1 S     0     2     0  0  80   0 -     0 kthrea ?        00:00:00 kthreadd
1 S     0     3     2  0  80   0 -     0 smpboo ?        00:00:00 ksoftirqd/0
1 S     0     5     2  0  60 -20 -     0 worker ?        00:00:00 kworker/0:0H
1 S     0     6     2  0  80   0 -     0 worker ?        00:00:00 kworker/u2:0
1 S     0     7     2  0  80   0 -     0 rcu_gp ?        00:00:00 rcu_sched
1 S     0     8     2  0  80   0 -     0 rcu_gp ?        00:00:00 rcu_bh
1 S     0     9     2  0  80   0 -     0 rcu_no ?        00:00:00 rcuos/0
1 S     0    10     2  0  80   0 -     0 rcu_no ?        00:00:00 rcuob/0
1 S     0    11     2  0 -40   - -     0 smpboo ?        00:00:00 migration/0
5 S     0    12     2  0 -40   - -     0 smpboo ?        00:00:00 watchdog/0
1 S     0    13     2  0  60 -20 -     0 rescue ?        00:00:00 khelper
5 S     0    14     2  0  80   0 -     0 devtmp ?        00:00:00 kdevtmpfs
1 S     0    15     2  0  60 -20 -     0 rescue ?        00:00:00 netns
1 S     0    16     2  0  60 -20 -     0 rescue ?        00:00:00 perf
1 S     0    17     2  0  80   0 -     0 watchd ?        00:00:00 khungtaskd
1 S     0    18     2  0  60 -20 -     0 rescue ?        00:00:00 writeback
1 S     0    19     2  0  85   5 -     0 ksm_sc ?        00:00:00 ksmd
1 S     0    20     2  0  99  19 -     0 khugep ?        00:00:00 khugepaged
1 S     0    21     2  0  60 -20 -     0 rescue ?        00:00:00 crypto
1 S     0    22     2  0  60 -20 -     0 rescue ?        00:00:00 kintegrityd
1 S     0    23     2  0  60 -20 -     0 rescue ?        00:00:00 bioset
1 S     0    24     2  0  60 -20 -     0 rescue ?        00:00:00 kblockd
1 S     0    25     2  0  60 -20 -     0 rescue ?        00:00:00 ata_sff
1 S     0    26     2  0  60 -20 -     0 rescue ?        00:00:00 md
1 S     0    27     2  0  60 -20 -     0 rescue ?        00:00:00 devfreq_wq
1 S     0    29     2  0  80   0 -     0 worker ?        00:00:01 kworker/0:1
1 S     0    31     2  0  80   0 -     0 kswapd ?        00:00:00 kswapd0
1 S     0    32     2  0  80   0 -     0 fsnoti ?        00:00:00 fsnotify_mark
1 S     0    33     2  0  80   0 -     0 ecrypt ?        00:00:00 ecryptfs-kthrea
1 S     0    45     2  0  60 -20 -     0 rescue ?        00:00:00 kthrotld
1 S     0    46     2  0  60 -20 -     0 rescue ?        00:00:00 acpi_thermal_pm
1 S     0    47     2  0  80   0 -     0 scsi_e ?        00:00:00 scsi_eh_0
1 S     0    48     2  0  60 -20 -     0 rescue ?        00:00:00 scsi_tmf_0
1 S     0    49     2  0  80   0 -     0 scsi_e ?        00:00:00 scsi_eh_1
1 S     0    50     2  0  60 -20 -     0 rescue ?        00:00:00 scsi_tmf_1
1 S     0    55     2  0  60 -20 -     0 rescue ?        00:00:00 ipv6_addrconf
1 S     0    75     2  0  60 -20 -     0 rescue ?        00:00:00 deferwq
1 S     0    76     2  0  60 -20 -     0 rescue ?        00:00:00 charger_manager
1 S     0   122     2  0  60 -20 -     0 rescue ?        00:00:00 kpsmoused
1 S     0   123     2  0  80   0 -     0 worker ?        00:00:00 kworker/0:2
1 S     0   124     2  0  80   0 -     0 scsi_e ?        00:00:00 scsi_eh_2
1 S     0   125     2  0  60 -20 -     0 rescue ?        00:00:00 scsi_tmf_2
1 S     0   126     2  0  60 -20 -     0 worker ?        00:00:00 kworker/0:1H
1 D     0   136     2  0  80   0 -     0 wait_o ?        00:00:00 jbd2/sda1-8
1 S     0   137     2  0  60 -20 -     0 rescue ?        00:00:00 ext4-rsv-conver
1 S     0   259     1  0  80   0 -  4870 poll_s ?        00:00:00 upstart-udev-br
5 S     0   264     1  0  80   0 - 13020 ep_pol ?        00:00:00 systemd-udevd
1 S     0   314     2  0  60 -20 -     0 rescue ?        00:00:00 iprt
1 S     0   434     1  0  80   0 -  3849 poll_s ?        00:00:00 upstart-socket-
5 S   102   522     1  0  80   0 - 10004 ep_pol ?        00:00:00 dbus-daemon
4 S     0   546     1  0  80   0 - 82561 poll_s ?        00:00:00 ModemManager
1 S     0   556     1  0  80   0 -  3820 poll_s ?        00:00:00 upstart-file-br
5 S   101   569     1  0  80   0 - 63962 poll_s ?        00:00:00 rsyslogd
4 S     0   619     1  0  80   0 - 10864 ep_pol ?        00:00:00 systemd-logind
5 S     0   630     1  0  80   0 -  4858 poll_s ?        00:00:00 bluetoothd
5 S     0   640     2  0  70 -10 -     0 wait_w ?        00:00:00 krfcommd
5 S   111   645     1  0  80   0 -  8088 poll_s ?        00:00:00 avahi-daemon
1 S   111   654   645  0  80   0 -  8057 unix_s ?        00:00:00 avahi-daemon
4 S     0   698     1  0  80   0 -  5755 wait_w tty4     00:00:00 getty
4 S     0   703     1  0  80   0 -  5755 wait_w tty5     00:00:00 getty
4 S     0   710     1  0  80   0 -  5755 wait_w tty2     00:00:00 getty
4 S     0   711     1  0  80   0 -  5755 wait_w tty3     00:00:00 getty
4 S     0   714     1  0  80   0 -  5755 wait_w tty6     00:00:00 getty
1 S     0   758     1  0  80   0 -  1093 poll_s ?        00:00:00 acpid
1 S   106   778     1  0  80   0 -  9287 poll_s ?        00:00:00 kerneloops
4 S     0   815     1  0  80   0 - 18841 poll_s ?        00:00:00 cups-browsed
1 S     0   823     1  0  80   0 -  5915 hrtime ?        00:00:00 cron
5 S     0   841     1  0  80   0 - 87051 poll_s ?        00:00:00 NetworkManager
